venue_name,scraped_city,resolved_address,likely_neighborhood_hint,maps_link,status,seen_on,notes
Mexican Village,Los Angeles,,,https://goo.gl/maps/gpyiTmWZb4qYLZut8,needs_address,Tue 7:15pm,
Vibz,North Hollywood,,North Hollywood,https://maps.app.goo.gl/NwTrPybL6sMcBPW49?g_st=ipc,ok,Tue 7:30pm,
Sunset Rooftop,Los Angeles,,,"(garbled Google search-results URL, no stable link)",needs_address,Tue 7:30pm,"Same garbled URL and same contact handle (@Sushi498TheFam) as Universal Bar & Grill above, likely the same physical venue under two mic names."
Rythem & Bleu,Los Angeles,,,https://maps.app.goo.gl/w2agQn8wgprcfaeH8?g_st=ipc,needs_address,Tue 7:30pm,
The Golden Gopher,Los Angeles,,,https://maps.app.goo.gl/3YKv39vyAwCwj3ME9,needs_address,Tue 8:00pm,
The Woods,Los Angeles,,,"(garbled Google search-results URL, no stable link)",needs_address,Tue 8:00pm (last Tuesday),
Chatterbox,Covina,,Covina,https://goo.gl/maps/SCtGRE5JBcK3y8cp6,ok,Tue 8:00pm; Thu 8:00pm,
Kavahana,Santa Monica,,Santa Monica,"(garbled Google search-results URL, no stable link)",duplicate_review,Tue 8:00pm,"Possibly the same venue as Kavahana Bar above, confirm before creating two venues rows."
Maui Sugar Mill Saloon,Tarzana,,Tarzana,https://goo.gl/maps/MAstXCaxpKGJEE7F7,ok,Tue 8:00pm,
Westside Comedy Theater,Santa Monica,,Santa Monica,https://goo.gl/maps/pGM8cRNWf88pFhEm6,ok,Tue 9:45pm,
Activist Kitchen,Los Angeles,669 Heliotrope Dr,East Hollywood,https://www.google.com/maps/dir//669+Heliotrope+Dr,ok_resolved,Wed 4:30pm; Wed 7:45pm; Thu 8:30pm,"Street address embedded in the maps link. Heliotrope Dr falls in/near East Hollywood, worth confirming exact neighborhood boundary."
HaHa Comedy Club,North Hollywood,,North Hollywood,https://goo.gl/maps/6QSwMx9CdGWXCz9A6,ok,Wed 5:30pm; Thu 5:30pm,
Mar Vista Branch Library,Los Angeles,,Mar Vista,https://maps.app.goo.gl/aGwY1e2MQYb8dht47?g_st=ic,needs_address,Wed 5:45pm,"Scraped city is generic Los Angeles but the venue name itself strongly suggests the Mar Vista neighborhood, which IS in the taxonomy. Likely just needs confirmation, not full resolution."
Chevalier's Books,Los Angeles,,Larchmont,https://www.google.com/maps?gs_lcrp=... (garbled search-results URL),needs_address,Wed 6:00pm (every other week),"Chevalier's Books is a known Larchmont Village bookstore. Larchmont is in the taxonomy, but resolve the real address rather than assuming."
Bad Ladder,Los Angeles,,,https://maps.app.goo.gl/KtqvpcmnEoaXccNQA,needs_address,Wed 7:45pm,
The Barkley,South Pasadena,,South Pasadena,https://goo.gl/maps/CniVkVUm1duRpQgt9,ok,Wed 7:00pm,
The First Amendment,Claremont,"34.175296,-118.427993",Claremont,"https://www.google.com/maps/dir/34.175296,-118.427993/The+First+Amendment",ok_resolved,Wed 7:30pm,Coordinates embedded in the maps link.
Close Up Cuts,Inglewood,,,https://goo.gl/maps/WUVmgmtp7JjbjBak6,taxonomy_gap,Wed 8:30pm,Same Inglewood taxonomy gap as Three Weavers Brewing Company above.
SiLA Clubhouse,Los Angeles,,,https://maps.app.goo.gl/dEBGw7rqWFDc57sU7,needs_address,Wed 9:30pm; Thu 12:30am (starts 1am),
The Ice House,Pasadena,,Pasadena,https://maps.app.goo.gl/bLD9H5z7dMsrTJGv7?g_st=ipc,ok,Thu 5:30pm (every other week),
Figueroa Mountain Brewing Co,Santa Barbara,,,https://maps.app.goo.gl/EsgTuv2cgncZuyHk9?g_st=ic,out_of_scope,Thu 5:30pm (2nd Thursdays),"Santa Barbara is well outside LA County, outside the taxonomy entirely."
Fanatic Salon,Los Angeles,,,https://goo.gl/maps/9CWnHtFBuCXHCLc8A,needs_address,Thu 6:30pm; Fri 10:00pm,
Emmanuel Presbyterian Church,Los Angeles,,,https://maps.app.goo.gl/tBQbVx6iMmPQyGwT8,needs_address,Thu 6:30pm,
Corbin Bowl,Tarzana,,Tarzana,https://goo.gl/maps/CoGdaKBAPjveStPx8,ok,Thu 7:00pm,
UCLA Dorm,Los Angeles,,Westwood,https://maps.app.goo.gl/mnocQuAkEcUoPMAo9,needs_address,Thu 7:30pm (usually 3rd Thursday),"Name suggests Westwood, which is in the taxonomy, but confirm with the real address."
Cafe Tropical,Los Angeles,,Silver Lake,https://maps.app.goo.gl/qDHtCFHe7gXhPwyq9,needs_address,Thu 8:00pm,"Well known as a Silver Lake spot. Silver Lake is in the taxonomy, but resolve the real address rather than assuming."
The Good Bar,Long Beach,,,https://goo.gl/maps/t8zG75uFtXGChm3E9,out_of_scope,Thu 8:30pm (last Thursday),Same Long Beach taxonomy gap as Roxanne's above.
Clubhouse,Los Angeles,,,https://goo.gl/maps/BUdUunC2HEisWA8h9,needs_address,Fri 5:30pm,"Generic venue name, double check this isn't a duplicate of another venue on this list once addressed."
Digital Debris,Los Angeles,2646 N Figueroa St,Cypress Park,https://www.google.com/maps/dir//2646+N+Figueroa+St,ok_resolved,Fri 7:45pm (1st Friday),"Street address embedded in the maps link. That block of Figueroa St is Cypress Park/Mount Washington area, both in the taxonomy."
Mofongos,North Hollywood,,North Hollywood,https://maps.app.goo.gl/PCaVpFsHMrrFCtj26,ok,Fri 10:00pm (1st Friday),
NoHo Diner,North Hollywood,,North Hollywood,https://goo.gl/maps/Lkk8jMWKyBK61drx5,ok,Fri 10:00pm; Sat 10:00pm,
The Broadwater Theater (Second Stage),Los Angeles,6320 Santa Monica Blvd,East Hollywood,https://www.google.com/maps/dir//6320+Santa+Monica+Blvd,ok_resolved,Fri 11:00pm,"Street address embedded in the maps link. That block of Santa Monica Blvd is East Hollywood, in the taxonomy."
Melody Bar & Grill,Los Angeles,,,https://goo.gl/maps/asxp12MDmBBK5tGH8,needs_address,Sat 1:45pm,
